주차장명,구분,구획수,평일시작,평일종료,요금정보,기본시간,기본요금,장애인주차구역,위도,경도,주소,자치구
남산예장,공영,39,06:00,23:59,유료,5.0,500.0,Y,37.559809,126.9889387982,서울특별시 중구 퇴계로26길 36,중구
DDP동측(양쪽),공영,20,00:00,23:59,무료,5.0,0.0,N,37.5672655579,127.0121114623,서울특별시 중구 마장로 22,중구
황학어린이공원 공영주차장,공영,113,00:00,23:59,유료,5.0,300.0,Y,37.56748249,127.018011,서울특별시 중구 다산로48길 33,중구
다산아트 공영주차장,공영,75,00:00,23:59,유료,5.0,200.0,Y,37.55163344,127.0043909,서울특별시 중구 동호로17길 173,중구
묵정공원지하 공영주차장,공영,491,00:00,23:59,유료,5.0,450.0,Y,37.563676,126.9998008,서울특별시 중구 퇴계로45길 32-12,중구
새싹마을 공영주차장,공영,12,00:00,23:59,유료,5.0,0.0,N,37.55950762,127.0120996,서울특별시 중구 동호로12길 97,중구
신당동 공영주차장,공영,75,00:00,23:59,유료,5.0,250.0,Y,37.56210861,127.014538,서울특별시 중구 다산로33길 3,중구
남산동 공영주차장,공영,48,00:00,23:59,유료,5.0,300.0,Y,37.55923346,126.985503,서울특별시 중구 퇴계로20길 24,중구
손기정체육공원 공영주차장,공영,162,00:00,23:59,유료,5.0,200.0,Y,37.55592073,126.9645377,서울특별시 중구 손기정로 101,중구
장충 공영주차장,공영,106,00:00,23:59,유료,5.0,200.0,Y,37.559936,127.0013265,서울특별시 중구 퇴계로50길 59,중구
서소문삼성생명뒤 공영주차장,공영,23,08:00,22:00,유료,5.0,450.0,N,37.55909088,126.9738466,서울특별시 중구 세종대로 23,중구
버티 공영주차장,공영,91,00:00,23:59,유료,5.0,200.0,Y,37.549029,127.0063055,서울특별시 중구 동호로17길 270,중구
청구 공영주차장,공영,51,00:00,23:59,유료,5.0,300.0,Y,37.558923,127.0134049,서울특별시 중구 다산로 174,중구
다산동 공영주차장,공영,85,00:00,23:59,유료,5.0,200.0,Y,37.55438305,127.0086101,서울특별시 중구 동호로15길 60,중구
필동 공영주차장,공영,47,00:00,23:59,유료,5.0,200.0,Y,37.55659975,126.9958714,서울특별시 중구 필동로 55,중구
문화 공영주차장,공영,31,08:00,22:00,유료,5.0,200.0,N,37.556504,127.0110187,서울특별시 중구 동호로12길 29,중구
약수동 공영주차장,공영,88,00:00,23:59,유료,5.0,200.0,Y,37.552237,127.0133313,서울특별시 중구 동호로8다길 22,중구
성곽 공영주차장,공영,44,00:00,23:59,유료,5.0,200.0,Y,37.550508,127.004839,서울특별시 중구 동호로17길 201,중구
신당사거리 공영주차장,공영,45,00:00,23:59,유료,5.0,300.0,N,37.565173,127.0170054,서울특별시 중구 퇴계로 408,중구
충현어린이공원 공영주차장,공영,24,00:00,23:59,유료,5.0,0.0,N,37.552118,127.0057006,서울특별시 중구 동호로11나길 47,중구
충현 공영주차장,공영,108,00:00,23:59,유료,5.0,200.0,Y,37.552153,127.0057006,서울특별시 중구 동호로11나길 47,중구
진양상가 인공도로 공영주차장,공영,14,09:00,19:00,유료,5.0,500.0,N,37.55909088,126.9738466,서울특별시 중구 세종대로 23,중구
훈련원공원옆 공영주차장,공영,9,08:00,22:00,유료,5.0,500.0,N,37.56845681,127.0053518,서울특별시 중구 을지로39길 41,중구
서소문올리브타워옆 공영주차장,공영,16,08:00,22:00,유료,5.0,500.0,N,37.5613576,126.9729947,서울특별시 중구 세종대로9길 41,중구
조선호텔앞 공영주차장,공영,4,08:00,22:00,유료,5.0,0.0,N,37.56369098,126.9812519,서울특별시 중구 남대문로7길 11,중구
남평화시장앞 공영주차장,공영,32,00:00,23:59,유료,5.0,500.0,N,37.55909088,126.9738466,서울특별시 중구 세종대로 23,중구
맑은내길 공영주차장,공영,17,00:00,23:59,유료,5.0,500.0,N,37.55909088,126.9738466,서울특별시 중구 세종대로 23,중구
한국관광공사옆 공영주차장,공영,9,08:00,22:00,유료,5.0,600.0,N,37.56097283,126.9770151,서울특별시 중구 남대문로 11,중구
코오롱빌딩옆 공영주차장,공영,10,08:00,22:00,유료,5.0,600.0,N,37.55909088,126.9738466,서울특별시 중구 세종대로 23,중구
남대문피혁상가남측 공영주차장,공영,24,09:00,20:00,유료,5.0,500.0,N,37.55909088,126.9738466,서울특별시 중구 세종대로 23,중구
대림상가 공영주차장,공영,47,09:00,20:00,유료,5.0,500.0,N,37.56830549,126.9957258,서울특별시 중구 을지로19길 38,중구
국제화재빌딩옆 공영주차장,공영,5,07:00,21:00,유료,5.0,500.0,N,37.55825878,126.9758162,서울특별시 중구 소월로 16,중구
이화여고앞 공영주차장,공영,13,09:00,20:00,유료,5.0,250.0,N,37.56557705,126.9696428,서울특별시 중구 통일로4길 30,중구
뉴국제호텔앞 공영주차장,공영,19,08:00,22:00,유료,5.0,600.0,N,37.56794672,126.977995,서울특별시 중구 세종대로22길 12,중구
해운센터앞 공영주차장,공영,9,08:00,22:00,유료,5.0,600.0,N,37.562479,126.9734829,서울특별시 중구 세종대로9길 68-1,중구
다동쉼터 공영주차장,공영,7,09:00,20:00,유료,5.0,500.0,N,37.56800835,126.9799921,서울특별시 중구 다동길 11,중구
삼풍상가 공영주차장,공영,26,09:00,20:00,유료,5.0,500.0,N,37.56592686,126.9955901,서울특별시 중구 을지로 158,중구
중구구민회관 부설주차장,공영,71,00:00,23:59,유료,5.0,250.0,N,37.5689855,127.0057956,서울특별시 중구 을지로39길 40,중구
서림동제1공영주차장,공영,12,00:00,23:59,유료,0.0,0.0,N,37.47324878,126.9407527,서울특별시 관악구 서림7길 31,관악구
신원동제2공영주차장,공영,8,00:00,23:59,유료,0.0,0.0,N,37.47674526,126.9294757,서울특별시 관악구 문성로38길 38-19,관악구
중앙동제1공영주차장,공영,6,00:00,23:59,유료,0.0,0.0,N,37.48627802,126.9478758,서울특별시 관악구 중앙길 133,관악구
낙성대제3공영주차장,공영,6,00:00,23:59,유료,0.0,0.0,N,37.47433551,126.9617961,서울특별시 관악구 낙성대역6길 20,관악구
청룡동제1공영주차장,공영,17,00:00,23:59,유료,0.0,0.0,N,37.47875774,126.9470248,서울특별시 관악구 청룡9길 21,관악구
봉림중공영주차장,공영,30,00:00,23:59,유료,0.0,0.0,N,37.48119817,126.9377027,서울특별시 관악구 장군봉길 72,관악구
난곡마당공영주차장,공영,41,00:00,23:59,유료,0.0,0.0,N,37.46754161,126.9225532,서울특별시 관악구 난곡로24바길 16,관악구
난곡동제2공영주차장,공영,6,00:00,23:59,유료,0.0,0.0,N,37.47016608,126.9178922,서울특별시 관악구 난곡로31길 45,관악구
남현동제2공영주차장,공영,26,00:00,23:59,유료,0.0,0.0,N,37.4756463,126.9771048,서울특별시 관악구 남현길 22,관악구
인헌동제2공영주차장,공영,7,00:00,23:59,유료,0.0,0.0,N,37.47106455,126.9697838,서울특별시 관악구 인헌17길 34,관악구
인헌동제1공영주차장,공영,6,00:00,23:59,유료,0.0,0.0,N,37.473655,126.9672678,서울특별시 관악구 인헌길 33-12,관악구
미성동제3공영주차장,공영,15,00:00,23:59,유료,0.0,0.0,N,37.47565502,126.9157498,서울특별시 관악구 난곡로41길 12,관악구
미성동제2공영주차장,공영,21,00:00,23:59,유료,0.0,0.0,N,37.4797444,126.9141902,서울특별시 관악구 난곡로63가길 30,관악구
