이름,자치구,위도,경도
명동성당.남대문세무서,중구,37.5649848069,126.9875299251
국가인권위.안중근활동터,중구,37.5643504711,126.9878515151
서울역버스환승센터,중구,37.5551460158,126.9722570849
서울역버스환승센터,중구,37.5554029828,126.9725924801
서울역버스환승센터,중구,37.555388989,126.9727238221
서울역버스환승센터,중구,37.5554794133,126.9728547738
서울역버스환승센터.강우규의거터,중구,37.5554141603,126.9729402621
숭례문,중구,37.5586388574,126.9737783904
서울시청,중구,37.5661382638,126.9806320857
만리동고개,중구,37.551787064,126.9626582054
손기정체육공원입구,중구,37.5544459527,126.9662339013
서울의료보건고등학교.서울역서부,중구,37.5558478973,126.9689026242
서울역서부,중구,37.556237644,126.9691514463
서울역서부,중구,37.555855,126.969293
중림동교차로,중구,37.5583836266,126.9691354395
중림동.충정로역2호선,중구,37.559839,126.964879
한국경제신문사.서소문역사공원,중구,37.5602111497,126.9678680149
한국경제신문사.서소문역사공원,중구,37.5606234736,126.9681135141
경찰청.동북아역사재단,중구,37.5630494858,126.9691267228
장충동써미트호텔,중구,37.5622736605,127.0066750078
농협은행.유관순활동터,중구,37.5649062803,126.9677868059
염천교,중구,37.5598696316,126.97311408
숭례문,중구,37.5584010617,126.97335794
숭례문.한국일보,중구,37.5587713091,126.9737375955
후암삼거리,중구,37.5534055956,126.9759937564
숭례문,중구,37.5587633765,126.974362745
숭례문,중구,37.5584195299,126.9740436876
숭례문.서울역4번출구,중구,37.5580006528,126.9736279452
숭례문.남대문시장8번출입구,중구,37.5588723988,126.9759976615
숭례문남산방향,중구,37.5585581643,126.9756720863
남대문시장.신세계앞,중구,37.561191081,126.9800597585
북창동.남대문시장,중구,37.561273,126.978555
소공동주민센터,중구,37.562197167,126.97644367
삼성본관앞,중구,37.5620517519,126.9759075283
시청역8번출구,중구,37.562764205,126.976148714
시청역9번출구.시청서소문2청사,중구,37.5631901447,126.9746522037
시청역11번출구,중구,37.563722,126.975314
시청.서소문청사,중구,37.5635248407,126.9749539314
광교,중구,37.5681069154,126.9828444051
서울신문사,중구,37.5683632936,126.9773647051
명동성당,중구,37.564974163,126.9874193795
우리은행종로지점,중구,37.5678390393,126.9828658628
롯데백화점,중구,37.5645069796,126.9822069938
소공동.롯데영플라자,중구,37.5628907847,126.9815478394
명동.롯데영플라자,중구,37.562885,126.982008
명동입구B,중구,37.5644247651,126.9823981134
신세계백화점,중구,37.561127344,126.9814315438
남대문시장.회현역,중구,37.5582675237,126.9777650546
남대문시장.회현역,중구,37.5584920257,126.9784645011
남산3호터널,중구,37.5583104538,126.9827404025
남산3호터널.정화예술대학교,중구,37.5595260891,126.9826359346
명동역4번출구,중구,37.560657849,126.9849157703
퇴계로2가.명동역5번출구,중구,37.5609325805,126.9843582953
충무로역.한옥마을.한국의집,중구,37.5612508237,126.9917771969
충무로역.한옥마을.한국의집,중구,37.5609019668,126.9924098253
충무로역2번출구,중구,37.5612375854,126.9947285429
충무로역8번출구,중구,37.5620371603,126.9964921507
초동,중구,37.5633461766,126.9931119513
을지로입구.로얄호텔,중구,37.5658757422,126.9853902774
을지로입구.시청입구,중구,37.5661382638,126.9811712097
을지로2가.기업은행본점.서울노동청,중구,37.566246226,126.9865233528
을지로2가.파인에비뉴,중구,37.5660727123,126.988670826
을지로3가,중구,37.5663729806,126.9902600103
을지로3가,중구,37.5661389597,126.9914237666
을지로4가,중구,37.5666841559,126.9959336364
을지로4가.베스트웨스턴국도,중구,37.5664010399,126.9968473297
