자치구,요일유형,시간대,평균생활인구수
관악구,주말,0,490567
관악구,주말,1,491815
관악구,주말,2,492875
관악구,주말,3,493133
관악구,주말,4,492898
관악구,주말,5,491661
관악구,주말,6,487832
관악구,주말,7,482884
관악구,주말,8,475969
관악구,주말,9,465983
관악구,주말,10,458164
관악구,주말,11,450503
관악구,주말,12,442925
관악구,주말,13,435320
관악구,주말,14,430739
관악구,주말,15,428682
관악구,주말,16,430203
관악구,주말,17,434632
관악구,주말,18,441738
관악구,주말,19,449219
관악구,주말,20,458058
관악구,주말,21,468922
관악구,주말,22,478582
관악구,주말,23,492243
관악구,평일,0,501773
관악구,평일,1,502674
관악구,평일,2,503355
관악구,평일,3,503375
관악구,평일,4,502498
관악구,평일,5,499883
관악구,평일,6,492263
관악구,평일,7,475644
관악구,평일,8,443652
관악구,평일,9,421548
관악구,평일,10,412526
관악구,평일,11,407017
관악구,평일,12,402231
관악구,평일,13,398357
관악구,평일,14,396874
관악구,평일,15,398718
관악구,평일,16,402431
관악구,평일,17,411944
관악구,평일,18,432036
관악구,평일,19,449589
관악구,평일,20,460851
관악구,평일,21,471696
관악구,평일,22,483084
관악구,평일,23,498634
중구,주말,0,150001
중구,주말,1,146538
중구,주말,2,144638
중구,주말,3,143643
중구,주말,4,143893
중구,주말,5,145667
중구,주말,6,152251
중구,주말,7,159438
중구,주말,8,173461
중구,주말,9,194140
중구,주말,10,216303
중구,주말,11,240724
중구,주말,12,259533
중구,주말,13,271455
중구,주말,14,273350
중구,주말,15,269176
중구,주말,16,260251
중구,주말,17,248896
중구,주말,18,235059
중구,주말,19,220437
중구,주말,20,201915
중구,주말,21,185872
중구,주말,22,171595
중구,주말,23,153624
중구,평일,0,159224
중구,평일,1,156809
중구,평일,2,155176
중구,평일,3,154045
중구,평일,4,154278
중구,평일,5,157125
중구,평일,6,174144
중구,평일,7,220807
중구,평일,8,312836
중구,평일,9,361057
중구,평일,10,386070
중구,평일,11,407675
중구,평일,12,420016
중구,평일,13,424520
중구,평일,14,419678
중구,평일,15,408356
중구,평일,16,389806
중구,평일,17,356826
중구,평일,18,297780
중구,평일,19,260099
중구,평일,20,232972
중구,평일,21,208220
중구,평일,22,187836
중구,평일,23,164212
