시설명,업종,세부유형,자치구,주소,전화번호,위도,경도
(주)남강에프씨유소년축구클럽,체육교습업,축구,관악구,서울특별시 관악구 난곡로 270(신림동),070-7720-7822,37.4781481408041,126.915479396711
(주)더한 오리엔스 호텔 & 레지던스,체력단련장업,체력단련장,중구,"중구 삼일대로2길 50, 지하2층(예장동, 오리엔스 호텔)",02-2280-8000,37.5600881481,126.991126658
(주)머슬인더박스,체력단련장업,체력단련장,중구,"서울특별시 중구 청계천로 400(황학동, 롯데캐슬베네치아)",02-2231-3200,37.5708105464699,127.021463886656
(주)바디스타,체력단련장업,체력단련장,중구,서울특별시 중구 마른내로 34(초동),02-2038-0117,37.564230160524,126.991688931109
(주)블랙썬 당구장,당구장업,당구장,중구,서울특별시 중구 난계로21길 63(황학동),02-2118-8087,37.5638077703601,126.997555182293
(주)센터원웰니스,체력단련장업,체력단련장,중구,서울특별시 중구 을지로5길 26 (수하동),,37.5673387737,126.9852081547
(주)센터원웰니스,골프연습장업,스크린,중구,서울특별시 중구 을지로5길 26 (수하동),02-753-9800,37.5673387737,126.9852081547
(주)스포짐앤밀론,체력단련장업,체력단련장,중구,서울특별시 중구 삼일대로 358 (을지로2가),,37.566488558384165,126.98807882278932
(주)스포짐예로우 신당역점,체력단련장업,체력단련장,중구,"서울특별시 중구 퇴계로 447, 지하1층 140~144호 (황학동, 황학 아크로타워)",02-2233-8487,37.5660419798,127.0217218352
(주)스포짐옐로우 GDR 신당역점,가상체험 체육시설업,골프,중구,"서울특별시 중구 퇴계로 447(황학동, 황학 아크로타워)",02-2233-8487,37.5660419798503,127.021721835241
(주)아이골프존 더클래식,골프연습장업,스크린,관악구,"서울특별시 관악구 남부순환로218길 37 (봉천동, 프라비다2)",02-874-0753,37.4796978174,126.9504801516
(주)이아스피스 명동센터,체력단련장업,체력단련장,중구,중구 명동8길 27,,37.5625310531,126.985168359
(주)이아스피스 명동센터,골프연습장업,실내,중구,서울특별시 중구 명동8길 27(명동2가),,37.5625310531,126.985168359
(주)이화골프존파크,골프연습장업,스크린,중구,서울특별시 중구 정동길 17(정동),,37.567161887661,126.970642082697
(주)조선호텔앤리조트 CAC클럽,종합체육시설업,종합체육시설,중구,서울특별시 중구 소공로 106,02-771-0500,37.5644836818,126.980183215
(주)조선호텔앤리조트스테이트타워남산GYM,체력단련장업,체력단련장,중구,서울특별시 중구 퇴계로 100 (회현동2가),02-6020-5527,37.56017734560088,126.98291879705376
(주)파크짐,체력단련장업,체력단련장,중구,"서울 중구 다산로 240, 지하1층(신당동)",,37.5642174922,127.016534302
(주)포사이버 새로나스크린골프 사업부,골프연습장업,스크린,중구,서울특별시 중구 남대문로 30 (남창동),02-3789-7068,37.5607353738,126.979238012
(주)풀굿코리아,체육교습업,축구,관악구,서울특별시 관악구 은천로 92(봉천동),02-3285-3343,37.4867772255744,126.945377054435
(주)한국스포터(성동교육문화관),종합체육시설업,종합체육시설,중구,서울특별시 중구 퇴계로90길 17,02-2231-9313,37.5641624675,127.022388298
22호근린공원,간이운동장,간이운동장,관악구,,031-481-2470,37.482544,126.927083
2351 필라테스&짐,체력단련장업,체력단련장,관악구,"서울특별시 관악구 남부순환로 1369, 3층 (신림동, 관악농협농산물백화점)",02-865-2017,37.4801331328,126.9029077558
24시 당구장,당구장업,당구장,중구,서울 중구 명동1가 38-1 4층,02-778-0152,37.5647618393,126.984538595
27 당구클럽,당구장업,당구장,중구,서울특별시 중구 퇴계로 27 (남대문로5가),02-3789-4927,37.557649723412034,126.97588883819684
3469 당구장,당구장업,당구장,중구,서울 중구 필동2가 19-5 보성빌딩 3층,,37.5607695565,126.995690052
3M캐롬클럽,당구장업,당구장,관악구,서울특별시 관악구 신사로 116-1 (신림동),,37.48790222696,126.915156444572
3S gym,체력단련장업,체력단련장,중구,서울특별시 중구 청구로4길 19 (신당동),02-2231-7970,37.560718208717226,127.01513913479964
5번출구무도장,무도장업,무도장,관악구,서울특별시 관악구 남현1길 58 (남현동),02-000-0000,37.4755925756593,126.980498725427
88스크린골프,골프연습장업,스크린,중구,서울특별시 중구 청계천로 176 (주교동),,37.5684064441,126.9971158433
:O GYM,체력단련장업,체력단련장,관악구,서울특별시 관악구 남부순환로 1917(봉천동),,37.4778412533678,126.962356575184
A#스크린골프,골프연습장업,스크린,관악구,"서울특별시 관악구 남부순환로 1464 (신림동,2,3층)",,37.4812405928,126.91337693
A+당구장,당구장업,당구장,관악구,서울특별시 관악구 호암로24길 77 (신림동),,37.4693157781194,126.937601300726
ATS태권도장,체육도장업,태권도,관악구,"서울특별시 관악구 성현로 80 (봉천동, 관악드림타운아파트)",02-6334-2000,37.48976754475361,126.95061823989656
AURUM GOLF,골프연습장업,스크린,중구,서울특별시 중구 정동길 2-1(정동),02-318-2024,37.5679813745371,126.969346954167
B&B 골프 아카데미,골프연습장업,실내,관악구,서울특별시 관악구 남부순환로 1862 (봉천동),,37.4795416209,126.95653116
BB117,당구장업,당구장,중구,서울 중구 남대문로4가 20-10,02-756-1117,37.5600788839,126.976245705
Banyan Tree Club&SPA Seoul Fitness club,체력단련장업,체력단련장,중구,서울특별시 중구 장충단로 60 (장충동2가),02-2250-8000,37.550264001499386,127.00053866788092
Banyan Tree Club&SPA Seoul Ice Rink,썰매장업,썰매장,중구,서울특별시 중구 장충단로 60(장충동2가),02-2250-8000,37.550069386,127.000497927
Banyan Tree Club&SPA Seoul Indoor Pool,수영장업,실내,중구,서울특별시 중구 장충단로 60,02-2250-8000,37.550069386,127.000497927
Banyan Tree Club&SPA Seoul Oasis,수영장업,실외,중구,서울특별시 중구 장충단로 60,02-2250-8000,37.550069386,127.000497927
BanyanTree Club&SPA Seoul Golf,골프연습장업,실외,중구,서울특별시 중구 장충단로 60 (장충동2가),02-2250-8000,37.550264001499386,127.00053866788092
Best Billiard Club,당구장업,당구장,관악구,"서울특별시 관악구 당곡길 74, 지하1층 (봉천동)",,37.4920440362,126.927268477
CLUB WILL,체력단련장업,체력단련장,중구,중구 퇴계로6길 3-28(회현동1가),02-773-9078,37.558540554,126.979288419
CM헬스,체력단련장업,체력단련장,중구,서울특별시 중구 충무로 13 (충무로3가),02-2275-0776,37.56236597153693,126.9926339967565
CV VENEZIA,당구장업,당구장,중구,"서울특별시 중구 청계천로 400(황학동, 롯데캐슬베네치아)",,37.5708105464699,127.021463886656
DDPT&PILATES,체력단련장업,체력단련장,중구,서울특별시 중구 다산로 197-1 (신당동),02-6014-2844,37.56100306876738,127.01396210212306
DK 골프클럽,골프연습장업,스크린,관악구,"서울특별시 관악구 난향길 5, 지층 (신림동)",,37.4627338352,126.9185588264
DYGYM,체력단련장업,체력단련장,관악구,서울특별시 관악구 남부순환로 1931 (봉천동),02-000-0000,37.4772285940493,126.963886972814
ESC(elite sporst conditioning GYM),체력단련장업,체력단련장,관악구,서울특별시 관악구 행운2길 20 (봉천동),02-6338-4950,37.47914278117647,126.95995027046077
FRASER PLACE,체력단련장업,체력단련장,중구,서울특별시 중구 난계로21길 63(황학동),2220-8020,37.5638077703601,126.997555182293
GDR 골프아카데미 난곡점,골프연습장업,실내,관악구,"서울특별시 관악구 난곡로 100 (신림동, 파로스프라자A동)",,37.4645001795391,126.919613685063
GDR 골프존 아카데미 실로암점,가상체험 체육시설업,골프,중구,서울특별시 중구 중림로 49(중림동),02-365-9595,37.5577436134772,126.968628967116
GG당구클럽,당구장업,당구장,관악구,서울특별시 관악구 남부순환로 1377 (신림동),02-868-3949,37.4801592066,126.9038314196
GOGO점핑 다이어트,체력단련장업,체력단련장,관악구,서울특별시 관악구 난우길 41 (신림동),,37.4761787463639,126.917178437411
GQ당구장,당구장업,당구장,중구,서울 중구 신당동 369-76,,37.5560478376,127.011625261
GYM PRIVATE,체력단련장업,체력단련장,관악구,서울특별시 관악구 쑥고개로 97 (봉천동),,37.4793042245021,126.947484476464
GYM29,체력단련장업,체력단련장,중구,서울특별시 중구 청계천로 86(장교동),02-729-5230,37.5675213832268,126.986526801038
HERO GYM,체력단련장업,체력단련장,관악구,"서울특별시 관악구 행운2길 52, B01호 (봉천동)",02-886-4044,37.4785357798,126.9616047351
Him PT,체력단련장업,체력단련장,관악구,서울특별시 관악구 신림로 276 (신림동),,37.4793676968,126.931703613
JS GYM,체력단련장업,체력단련장,관악구,서울특별시 관악구 관악로15길 6 (봉천동),02-883-2232,37.4804012571,126.9520625284
JS골프아카데미,골프연습장업,스크린,중구,"서울특별시 중구 청구로1길 23 (신당동, 신당동삼성아파트)",,37.55816980350889,127.0178956224892
J다이어트 복싱 체육관,체육도장업,권투,관악구,서울특별시 관악구 난곡로 270 (신림동),,37.47812826046013,126.91552407646608
K2당구장,당구장업,당구장,관악구,서울특별시 관악구 남부순환로 1916 (봉천동,,37.4773594813,126.962067621
