이름,구분,자치구,요금정보,장애인주차구역,위도,경도
남산예장,공영,중구,유료,Y,37.559809,126.9889387982
DDP동측(양쪽),공영,중구,무료,N,37.5672655579,127.0121114623
황학어린이공원 공영주차장,공영,중구,유료,Y,37.56748249,127.018011
다산아트 공영주차장,공영,중구,유료,Y,37.55163344,127.0043909
묵정공원지하 공영주차장,공영,중구,유료,Y,37.563676,126.9998008
새싹마을 공영주차장,공영,중구,유료,N,37.55950762,127.0120996
신당동 공영주차장,공영,중구,유료,Y,37.56210861,127.014538
남산동 공영주차장,공영,중구,유료,Y,37.55923346,126.985503
손기정체육공원 공영주차장,공영,중구,유료,Y,37.55592073,126.9645377
장충 공영주차장,공영,중구,유료,Y,37.559936,127.0013265
서소문삼성생명뒤 공영주차장,공영,중구,유료,N,37.55909088,126.9738466
버티 공영주차장,공영,중구,유료,Y,37.549029,127.0063055
청구 공영주차장,공영,중구,유료,Y,37.558923,127.0134049
다산동 공영주차장,공영,중구,유료,Y,37.55438305,127.0086101
필동 공영주차장,공영,중구,유료,Y,37.55659975,126.9958714
문화 공영주차장,공영,중구,유료,N,37.556504,127.0110187
약수동 공영주차장,공영,중구,유료,Y,37.552237,127.0133313
성곽 공영주차장,공영,중구,유료,Y,37.550508,127.004839
신당사거리 공영주차장,공영,중구,유료,N,37.565173,127.0170054
충현어린이공원 공영주차장,공영,중구,유료,N,37.552118,127.0057006
충현 공영주차장,공영,중구,유료,Y,37.552153,127.0057006
진양상가 인공도로 공영주차장,공영,중구,유료,N,37.55909088,126.9738466
훈련원공원옆 공영주차장,공영,중구,유료,N,37.56845681,127.0053518
서소문올리브타워옆 공영주차장,공영,중구,유료,N,37.5613576,126.9729947
조선호텔앞 공영주차장,공영,중구,유료,N,37.56369098,126.9812519
남평화시장앞 공영주차장,공영,중구,유료,N,37.55909088,126.9738466
맑은내길 공영주차장,공영,중구,유료,N,37.55909088,126.9738466
한국관광공사옆 공영주차장,공영,중구,유료,N,37.56097283,126.9770151
코오롱빌딩옆 공영주차장,공영,중구,유료,N,37.55909088,126.9738466
남대문피혁상가남측 공영주차장,공영,중구,유료,N,37.55909088,126.9738466
대림상가 공영주차장,공영,중구,유료,N,37.56830549,126.9957258
국제화재빌딩옆 공영주차장,공영,중구,유료,N,37.55825878,126.9758162
이화여고앞 공영주차장,공영,중구,유료,N,37.56557705,126.9696428
뉴국제호텔앞 공영주차장,공영,중구,유료,N,37.56794672,126.977995
해운센터앞 공영주차장,공영,중구,유료,N,37.562479,126.9734829
다동쉼터 공영주차장,공영,중구,유료,N,37.56800835,126.9799921
삼풍상가 공영주차장,공영,중구,유료,N,37.56592686,126.9955901
중구구민회관 부설주차장,공영,중구,유료,N,37.5689855,127.0057956
서림동제1공영주차장,공영,관악구,유료,N,37.47324878,126.9407527
신원동제2공영주차장,공영,관악구,유료,N,37.47674526,126.9294757
중앙동제1공영주차장,공영,관악구,유료,N,37.48627802,126.9478758
낙성대제3공영주차장,공영,관악구,유료,N,37.47433551,126.9617961
청룡동제1공영주차장,공영,관악구,유료,N,37.47875774,126.9470248
봉림중공영주차장,공영,관악구,유료,N,37.48119817,126.9377027
난곡마당공영주차장,공영,관악구,유료,N,37.46754161,126.9225532
난곡동제2공영주차장,공영,관악구,유료,N,37.47016608,126.9178922
남현동제2공영주차장,공영,관악구,유료,N,37.4756463,126.9771048
인헌동제2공영주차장,공영,관악구,유료,N,37.47106455,126.9697838
인헌동제1공영주차장,공영,관악구,유료,N,37.473655,126.9672678
미성동제3공영주차장,공영,관악구,유료,N,37.47565502,126.9157498
미성동제2공영주차장,공영,관악구,유료,N,37.4797444,126.9141902
미성동제1공영주차장,공영,관악구,유료,N,37.47957874,126.9157042
대학동제1공영주차장,공영,관악구,유료,N,37.46590801,126.9392301
조원동제3공영주차장,공영,관악구,유료,N,37.48299189,126.9043887
난향동제1공영주차장,공영,관악구,유료,N,37.45997373,126.9150699
신사동제3공영주차장,공영,관악구,유료,N,37.48397331,126.9179928
신사동제2공영주차장,공영,관악구,유료,N,37.48388151,126.9199755
모래내공원공영주차장,공영,관악구,유료,Y,37.4779002115,126.9554032
은천동공영주차장,공영,관악구,유료,Y,37.48705374,126.9415965
난향공영주차장,공영,관악구,유료,Y,37.46205365,126.9155924
남현소공원공영주차장,공영,관악구,유료,Y,37.47567778,126.9792771
난곡스마트공영주차장,공영,관악구,유료,Y,37.46906095,126.9242983
삼성동제2공영주차장,공영,관악구,유료,Y,37.46411875,126.933436
관악초공영주차장,공영,관악구,유료,Y,37.481026,126.942554
민방위교육장공영주차장,공영,관악구,유료,N,37.469348,126.911268
남부초공영주차장,공영,관악구,유료,Y,37.485119,126.922184
당곡중공영주차장,공영,관악구,유료,Y,37.492357,126.932678
신림동제1공영주차장,공영,관악구,유료,Y,37.487364,126.923465
미성동제4공영주차장,공영,관악구,유료,Y,37.476383,126.919922
난우중공영주차장,공영,관악구,유료,Y,37.466806,126.9228283
난곡동제1공영주차장,공영,관악구,유료,Y,37.47221023,126.9231529
신사동제1공영주차장,공영,관악구,유료,Y,37.48444806,126.915444
보라매제1공영주차장,공영,관악구,유료,Y,37.488508,126.934495
원신공영주차장,공영,관악구,유료,Y,37.470107,126.929213
조원동제1공영주차장,공영,관악구,유료,Y,37.481073,126.905712
행운동제1공영주차장,공영,관악구,유료,Y,37.479744,126.960471
신원동제1공영주차장,공영,관악구,유료,N,37.48306952,126.9252104
