서비스명,세부종목,접수상태,유무료,장소명,자치구,예약URL,위도,경도
훈련원공원종합체육관 종합체육관(농구),농구장,접수중,유료,훈련원공원종합체육관 종합체육관,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=T&base_date=20260601&center=JUNGGU05&type=&part=03&place=2,,
무학봉체육관(농구장),농구장,접수중,유료,무학봉체육관,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU03&type=&part=02&place=7,,
(평일 주간)장충체육관 보조체육관,다목적경기장,접수중,유료,장충체육관,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240419175232768053,37.55822,127.00681
"(평일 조/야간, 휴일)장충체육관 보조체육관",다목적경기장,접수중,유료,장충체육관,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240419181654733887,37.55822,127.00681
7/16~7/31 장충테니스장 4번코트(평일야간),테니스장,예약마감,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704091720923026,37.55400560480704,127.00167192962464
7/16~7/31 장충테니스장 7번코트(평일야간),테니스장,예약마감,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704091925637863,37.55400560480704,127.00167192962464
7/16~7/31 장충테니스장 8번코트(평일야간),테니스장,예약마감,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704092118891754,37.55400560480704,127.00167192962464
7/16~7/31 장충테니스장 2번코트(평일주간),테니스장,접수중,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704083448207595,37.55400560480704,127.00167192962464
7/16~7/31 장충테니스장 3번코트(평일주간),테니스장,접수중,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704084107067370,37.55400560480704,127.00167192962464
7/16~7/31 장충테니스장 4번코트(평일주간),테니스장,접수중,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704084407029614,37.55400560480704,127.00167192962464
7/16~7/31 장충테니스장 7번코트(평일주간),테니스장,접수중,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704084614948202,37.55400560480704,127.00167192962464
7/16~7/31 장충테니스장 8번코트(평일주간),테니스장,접수중,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704085424820444,37.55400560480704,127.00167192962464
7/16~7/31 장충테니스장 9번코트(평일주간),테니스장,접수중,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704085951059874,37.55400560480704,127.00167192962464
7/16~7/31 장충테니스장 2번코트(평일야간),테니스장,예약마감,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704090347101988,37.55400560480704,127.00167192962464
7/16~7/31 장충테니스장 3번코트(평일야간),테니스장,예약마감,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704091458714921,37.55400560480704,127.00167192962464
[서울 중구] 충무스포츠센터 대체육관,체육관,접수중,유료,충무스포츠센터 대체육관,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU01&type=&part=08&place=4,,
7/16~7/31 장충테니스장 9번코트(평일야간),테니스장,예약마감,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704092321750721,37.55400560480704,127.00167192962464
7/16~7/31장충테니스장 2번코트(주말 및 공휴일),테니스장,예약마감,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704092539525582,37.55400560480704,127.00167192962464
7/16~7/31장충테니스장 3번코트(주말 및 공휴일),테니스장,예약마감,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704095410633671,37.55400560480704,127.00167192962464
7/16~7/31장충테니스장 4번코트(주말 및 공휴일),테니스장,예약마감,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704095716347750,37.55400560480704,127.00167192962464
7/16~7/31장충테니스장 7번코트(주말 및 공휴일),테니스장,예약마감,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704095957050457,37.55400560480704,127.00167192962464
7/16~7/31장충테니스장 8번코트(주말 및 공휴일),테니스장,예약마감,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704100240765608,37.55400560480704,127.00167192962464
