종목,시설_세부유형,시설_업종,예약_세부종목,대체처리,확인필요,추천가능,비고
게이트볼,,,,,N,Y,데이터 없음
골프,골프|골프연습장|스크린,골프연습장업|가상체험 체육시설업,골프장,,Y,Y,'스크린'(54건)은 가상체험 체육시설업. 스크린야구가 섞여 있을 수 있음
농구,농구|구기체육관,,농구장,,Y,Y,구기체육관(5건)은 다목적일 수 있음
배구,,,배구장,,Y,Y,전용 시설 없음. 예약 3건으로 대응
"축구, 풋살",축구|축구장,체육교습업,축구장|풋살장,,N,Y,
족구,,,족구장,,N,Y,예약 1건
야구+소프트볼,야구,,,,Y,Y,'스크린'에 스크린야구가 섞였을 가능성
테니스+정구,테니스장,,테니스장,,N,Y,시설 1건이지만 예약 25건이 본체
배드민턴,생활체육관|구기체육관,,배드민턴장,,Y,Y,전용 시설 없음
탁구,생활체육관,,탁구장,,Y,Y,예약 1건뿐
[구기 및 라켓류] 그 외 종목,,,,,N,N,추천가능=N 종목 — 매핑 불필요
[무도/격투기] 그 외 종목,태권도|권투|검도|합기도|유도|레슬링|무도학원|무도장,체육도장업|무도학원업|무도장업,,,N,N,8개 세부유형 합계 약 120건
"석궁, 양궁, 국궁",국궁장,,,,N,Y,1건
[민속 스포츠] 그 외 종목,,,,,N,N,추천가능=N 종목 — 매핑 불필요
걷기(속보 포함),간이운동장,,,시설불필요,N,Y,보행자 전용 도로가 본체(52%). 시설 검색 대상이 아니다
"달리기(조깅, 마라톤 포함)",간이운동장,,,시설불필요,N,Y,
"육상(걷기, 달리기 제외한 종목)",간이운동장,,다목적경기장,,Y,Y,
보디빌딩(헬스),체력단련장,체력단련장업|종합체육시설업,,,N,Y,중구·관악구 최다 업종(237건). 커버리지 충분
"수영+아쿠아로빅, 수중발레+수구",수영장,수영장업,수영장,,N,Y,시설 14건. 소량이지만 실물이 있다
에어로빅,,,,집,N,Y,
"요가, 필라테스, 태보",,,,집,N,Y,체육교습업에 요가 항목 없음
댄스스포츠,,무도학원업,,집,Y,Y,무도학원업(9건)이 댄스스포츠일 가능성. 태권도 계열과 섞여 있음
"자전거, 사이클, 산악자전거",,,,시설불필요,N,Y,자전거도로 데이터 없음
줄넘기,,,,집,N,Y,
"체조(맨손체조, 생활체조)",간이운동장,,,집,N,Y,간이운동장 6건 + 집에서 가능
훌라후프,,,,집,N,Y,
[체력 단련 및 생활 운동] 그 외 종목,,,,,N,N,추천가능=N 종목 — 매핑 불필요
"빙상(아이스하키, 스케이팅 포함)",빙상장,빙상장업,,,N,Y,1건
승마,,,,,N,Y,데이터 없음
암벽등반,인공암벽장,인공암벽장업,,,N,Y,5건
인라인스케이트,,,,,N,Y,데이터 없음
[레저 스포츠] 그 외 종목,,,,,N,N,추천가능=N 종목 — 매핑 불필요
등산,,,,,N,Y,산림 데이터 없음. 시설 블록 숨김
낚시,,,,,N,Y,데이터 없음
[기타 스포츠] 그 외 종목,,,,,N,N,추천가능=N 종목 — 매핑 불필요
