정류소번호,정류소명,경도,위도,정류소타입,자치구
101000001,명동성당.남대문세무서,126.9875299251,37.5649848069,중앙차로,중구
101000002,국가인권위.안중근활동터,126.9878515151,37.5643504711,중앙차로,중구
101000003,서울역버스환승센터,126.9722570849,37.5551460158,중앙차로,중구
101000004,서울역버스환승센터,126.9725924801,37.5554029828,중앙차로,중구
101000005,서울역버스환승센터,126.9727238221,37.555388989,중앙차로,중구
101000006,서울역버스환승센터,126.9728547738,37.5554794133,중앙차로,중구
101000007,서울역버스환승센터.강우규의거터,126.9729402621,37.5554141603,중앙차로,중구
101000008,숭례문,126.9737783904,37.5586388574,중앙차로,중구
101000303,서울시청,126.9806320857,37.5661382638,일반차로,중구
101000009,만리동고개,126.9626582054,37.551787064,일반차로,중구
101000010,손기정체육공원입구,126.9662339013,37.5544459527,일반차로,중구
101000011,서울의료보건고등학교.서울역서부,126.9689026242,37.5558478973,일반차로,중구
101000012,서울역서부,126.9691514463,37.556237644,일반차로,중구
101000013,서울역서부,126.969293,37.555855,일반차로,중구
101000014,중림동교차로,126.9691354395,37.5583836266,일반차로,중구
101000015,중림동.충정로역2호선,126.964879,37.559839,일반차로,중구
101000016,한국경제신문사.서소문역사공원,126.9678680149,37.5602111497,일반차로,중구
101000017,한국경제신문사.서소문역사공원,126.9681135141,37.5606234736,일반차로,중구
101000018,경찰청.동북아역사재단,126.9691267228,37.5630494858,일반차로,중구
101000300,장충동써미트호텔,127.0066750078,37.5622736605,일반차로,중구
101000020,농협은행.유관순활동터,126.9677868059,37.5649062803,일반차로,중구
101000021,염천교,126.97311408,37.5598696316,일반차로,중구
101000022,숭례문,126.97335794,37.5584010617,일반차로,중구
101000023,숭례문.한국일보,126.9737375955,37.5587713091,일반차로,중구
101000025,후암삼거리,126.9759937564,37.5534055956,일반차로,중구
101000026,숭례문,126.974362745,37.5587633765,일반차로,중구
101000027,숭례문,126.9740436876,37.5584195299,일반차로,중구
101000028,숭례문.서울역4번출구,126.9736279452,37.5580006528,일반차로,중구
101000029,숭례문.남대문시장8번출입구,126.9759976615,37.5588723988,일반차로,중구
101000030,숭례문남산방향,126.9756720863,37.5585581643,일반차로,중구
101000031,남대문시장.신세계앞,126.9800597585,37.561191081,일반차로,중구
101000032,북창동.남대문시장,126.978555,37.561273,가로변시간,중구
101000033,소공동주민센터,126.97644367,37.562197167,일반차로,중구
101000034,삼성본관앞,126.9759075283,37.5620517519,일반차로,중구
101000035,시청역8번출구,126.976148714,37.562764205,일반차로,중구
101000036,시청역9번출구.시청서소문2청사,126.9746522037,37.5631901447,일반차로,중구
101000037,시청역11번출구,126.975314,37.563722,일반차로,중구
101000038,시청.서소문청사,126.9749539314,37.5635248407,일반차로,중구
101000333,광교,126.9828444051,37.5681069154,가로변시간,중구
101000039,서울신문사,126.9773647051,37.5683632936,일반차로,중구
101000337,명동성당,126.9874193795,37.564974163,일반차로,중구
101000040,우리은행종로지점,126.9828658628,37.5678390393,가로변시간,중구
101000041,롯데백화점,126.9822069938,37.5645069796,가로변전일,중구
101000042,소공동.롯데영플라자,126.9815478394,37.5628907847,가로변시간,중구
101000043,명동.롯데영플라자,126.982008,37.562885,가로변전일,중구
101000334,명동입구B,126.9823981134,37.5644247651,가로변전일,중구
101000045,신세계백화점,126.9814315438,37.561127344,일반차로,중구
101000046,남대문시장.회현역,126.9777650546,37.5582675237,일반차로,중구
101000047,남대문시장.회현역,126.9784645011,37.5584920257,일반차로,중구
101000048,남산3호터널,126.9827404025,37.5583104538,일반차로,중구
101000049,남산3호터널.정화예술대학교,126.9826359346,37.5595260891,일반차로,중구
101000050,명동역4번출구,126.9849157703,37.560657849,일반차로,중구
101000051,퇴계로2가.명동역5번출구,126.9843582953,37.5609325805,일반차로,중구
101000052,충무로역.한옥마을.한국의집,126.9917771969,37.5612508237,일반차로,중구
101000053,충무로역.한옥마을.한국의집,126.9924098253,37.5609019668,일반차로,중구
101000054,충무로역2번출구,126.9947285429,37.5612375854,일반차로,중구
101000055,충무로역8번출구,126.9964921507,37.5620371603,일반차로,중구
101000056,초동,126.9931119513,37.5633461766,일반차로,중구
101000057,을지로입구.로얄호텔,126.9853902774,37.5658757422,일반차로,중구
101000058,을지로입구.시청입구,126.9811712097,37.5661382638,일반차로,중구
101000059,을지로2가.기업은행본점.서울노동청,126.9865233528,37.566246226,일반차로,중구
101000060,을지로2가.파인에비뉴,126.988670826,37.5660727123,일반차로,중구
101000061,을지로3가,126.9902600103,37.5663729806,일반차로,중구
101000062,을지로3가,126.9914237666,37.5661389597,일반차로,중구
101000063,을지로4가,126.9959336364,37.5666841559,일반차로,중구
101000064,을지로4가.베스트웨스턴국도,126.9968473297,37.5664010399,일반차로,중구
101000065,중구청앞.덕수중학교,126.9981484996,37.564717315,일반차로,중구
101000066,방산시장.을지로4가역6번출구,126.999258524,37.5668182855,일반차로,중구
101000067,을지로5가.중부시장,127.0011150411,37.5666200422,일반차로,중구
101000068,방산시장.훈련원종합체육관,127.0024044565,37.5679608485,일반차로,중구
101000069,을지로5가,127.0025945654,37.5658243542,일반차로,중구
101000070,을지로6가.국립중앙의료원,127.0062316194,37.5661698346,일반차로,중구
101000071,동대문역사문화공원역8번출구,127.0072096931,37.5650528273,일반차로,중구
101000072,동대문역사문화공원역9번출구,127.0077222561,37.5651725525,일반차로,중구
101000073,을지로6가.국립중앙의료원,127.0058434821,37.5664631128,일반차로,중구
101000074,동대문역사문화공원,127.0083555318,37.5673541422,일반차로,중구
101000075,동대문역사문화공원,127.0091685169,37.5674835037,일반차로,중구
