기준일ID,시간대구분,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수,자치구
20260715,0,154813.2105,3279.4596,1309.7864,2584.3962,4822.5679,5810.3501,6807.6118,8415.9883,8041.5267,8031.2245,6501.4681,6563.587,4525.9663,3027.2467,6418.0217,3011.389,1296.8573,2929.7951,6381.1955,7179.9229,6925.317,7873.7762,6986.8757,6518.5995,5546.116,5688.8531,4657.0702,3465.189,10213.0543,중구
20260715,0,508775.7137,10797.8651,5232.1269,9890.6077,22359.0644,35840.2154,28896.5495,26084.5395,19348.0616,20527.956,17358.8073,15912.0538,11547.5019,7846.7987,17613.4486,10504.7025,5104.691,9988.897,29316.8311,38766.8879,27137.8883,21894.118,16669.6239,17160.1526,15031.0589,15932.9827,12928.6993,10331.8238,28751.7633,관악구
20260715,1,153099.9993,3290.662,1307.8462,2492.8142,4720.3895,5677.3664,6719.1608,8294.2155,7922.4135,7894.8155,6445.2925,6490.6859,4453.8181,3016.4707,6437.4213,2984.5865,1277.7872,2911.3455,6247.6553,7079.1919,6894.418,7785.4241,6963.7116,6422.8942,5529.1218,5635.8242,4645.776,3434.4783,10124.4141,중구
20260715,1,509469.955,10774.8016,5222.2757,9904.8372,22359.363,35893.5721,29009.5632,26111.7288,19377.1035,20514.3499,17422.3495,15797.2983,11565.1969,7854.5161,17645.7887,10488.089,5088.3367,9998.6248,29513.4225,38938.508,27180.1993,21901.2783,16702.1666,17160.1796,15011.0353,15954.7154,12938.6253,10348.0545,28793.9766,관악구
20260715,2,151531.4437,3264.0265,1298.4901,2422.3822,4573.7025,5622.6395,6602.0559,8028.2224,7803.4791,7705.5327,6378.1879,6443.8498,4379.2356,3029.2862,6446.599,3084.6259,1317.345,2956.4373,6159.9224,7010.4894,6872.1826,7711.9597,6827.9134,6329.1233,5513.6958,5574.0592,4641.9606,3409.6969,10124.3418,중구
20260715,2,510057.9776,10745.8368,5204.1605,9872.1081,22379.7373,35917.2758,29052.5262,26150.7632,19445.9836,20568.7627,17456.5692,15828.1954,11625.6382,7864.5606,17612.0443,10473.0478,5086.8313,10018.4371,29597.383,38950.3686,27279.4819,21986.3249,16679.7433,17186.086,15051.836,15949.9729,12958.7897,10336.9993,28778.5076,관악구
20260715,3,150669.3467,3280.9756,1305.7556,2398.6514,4602.2989,5562.6414,6471.6758,8036.6347,7578.5888,7676.4871,6386.4491,6389.5826,4391.8429,2995.7359,6475.9196,3070.8992,1324.3299,2929.4996,6038.0648,6996.8341,6836.9341,7685.5363,6740.7477,6357.3646,5375.1162,5544.9448,4627.8438,3413.2392,10174.7516,중구
20260715,3,509694.4673,10747.1172,5202.918,9935.1719,22355.1259,35966.8469,29082.7908,26108.1618,19430.6662,20468.203,17433.4248,15805.3491,11615.8234,7850.1399,17508.8817,10473.4163,5088.5635,10020.9498,29590.8002,39007.3574,27317.8631,21962.3355,16617.3517,17210.9384,15030.2956,15900.1092,12904.8808,10313.9862,28744.9966,관악구
20260715,4,151040.9422,3288.5598,1309.1598,2415.1866,4571.989,5442.3159,6426.4392,7899.5701,7457.5357,7590.3947,6341.8643,6407.632,4521.9178,3049.5363,6666.4503,3013.4804,1293.4501,2912.8306,6005.0931,6991.821,6737.7198,7640.6373,6685.1159,6249.9587,5441.3399,5605.5021,4843.6432,3617.6569,10614.1439,중구
20260715,4,509027.4075,10680.4781,5187.066,9975.2715,22426.8708,35963.237,29051.3732,26242.7657,19451.9122,20478.1059,17381.8623,15766.9692,11531.3634,7840.1725,17526.4016,10433.3669,5076.5481,9954.4817,29529.9245,38997.4567,27314.2881,21991.4191,16628.2206,17163.4867,14997.0538,15875.8176,12789.394,10181.5345,28590.57,관악구
