자치구,요일유형,시간대,평균생활인구수
관악구,평일,0,501772.662025
관악구,평일,1,502673.8715828571
관악구,평일,2,503355.4758435714
관악구,평일,3,503374.7661128571
관악구,평일,4,502497.98047
관악구,평일,5,499882.5587407143
관악구,평일,6,492262.85109142854
관악구,평일,7,475643.98020428576
관악구,평일,8,443651.8944371428
관악구,평일,9,421548.01976357144
관악구,평일,10,412525.59158
관악구,평일,11,407016.57633714285
관악구,평일,12,402231.19681928575
관악구,평일,13,398357.3404621429
관악구,평일,14,396874.287695
관악구,평일,15,398718.0751107143
관악구,평일,16,402430.89157857146
관악구,평일,17,411943.7217571428
관악구,평일,18,432036.0249642857
관악구,평일,19,449588.9280378572
관악구,평일,20,460850.5486535714
관악구,평일,21,471696.46536714287
관악구,평일,22,483084.30531285715
관악구,평일,23,498634.2705235714
관악구,주말,0,490566.9168553571
관악구,주말,1,491814.76636785717
관악구,주말,2,492875.22878571425
관악구,주말,3,493133.48569821427
관악구,주말,4,492898.05718214286
관악구,주말,5,491661.04073571425
관악구,주말,6,487832.24340892857
관악구,주말,7,482883.9973803572
관악구,주말,8,475968.6871089285
관악구,주말,9,465982.96348035714
관악구,주말,10,458164.1263089286
관악구,주말,11,450502.7056214286
관악구,주말,12,442924.6987214286
관악구,주말,13,435320.0367
관악구,주말,14,430739.38977142854
관악구,주말,15,428681.96986428567
관악구,주말,16,430203.07453035715
관악구,주말,17,434631.8937571429
관악구,주말,18,441737.58176428574
관악구,주말,19,449219.4390553571
관악구,주말,20,458058.4705267857
관악구,주말,21,468922.42576250003
관악구,주말,22,478582.14990714286
관악구,주말,23,492243.2820642857
중구,평일,0,159224.2182
중구,평일,1,156809.47731928574
중구,평일,2,155176.06893714285
중구,평일,3,154044.92917357144
중구,평일,4,154278.31423357144
중구,평일,5,157125.05743285717
중구,평일,6,174144.0244035714
중구,평일,7,220806.75274214288
중구,평일,8,312835.8038442857
중구,평일,9,361056.53365999996
중구,평일,10,386069.9252835714
중구,평일,11,407674.925415
중구,평일,12,420015.8114407143
중구,평일,13,424519.91440714285
중구,평일,14,419678.3184692857
중구,평일,15,408356.28481214284
중구,평일,16,389806.3322657143
중구,평일,17,356825.5456871429
중구,평일,18,297780.0543035714
중구,평일,19,260099.11303285716
중구,평일,20,232971.69791785715
중구,평일,21,208219.94810642858
중구,평일,22,187836.13891571428
중구,평일,23,164211.95237142858
중구,주말,0,150000.8023107143
중구,주말,1,146538.01048392858
중구,주말,2,144638.25500714284
중구,주말,3,143642.83604642857
중구,주말,4,143893.29994464287
중구,주말,5,145667.24585892857
중구,주말,6,152250.90505178572
중구,주말,7,159437.82618035717
중구,주말,8,173460.68782857145
중구,주말,9,194140.47692500002
중구,주말,10,216303.3758625
중구,주말,11,240724.1723642857
중구,주말,12,259533.28475000002
중구,주말,13,271454.53799464286
중구,주말,14,273350.0957910714
중구,주말,15,269175.959
중구,주말,16,260250.9998375
중구,주말,17,248896.1801232143
중구,주말,18,235058.89266964284
중구,주말,19,220437.33249107143
중구,주말,20,201915.32764642857
중구,주말,21,185871.83816607142
중구,주말,22,171594.86866964286
중구,주말,23,153624.06720714286
