서비스명,세부종목,접수상태,유무료,장소명,자치구,경도,위도,예약URL,시작시간,종료시간
훈련원공원종합체육관 종합체육관(농구),농구장,접수중,유료,훈련원공원종합체육관 종합체육관,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=T&amp;base_date=20260601&amp;center=JUNGGU05&amp;type=&amp;part=03&amp;place=2,,
무학봉체육관(농구장),농구장,접수중,유료,무학봉체육관,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260601&amp;center=JUNGGU03&amp;type=&amp;part=02&amp;place=7,,
(평일 주간)장충체육관 보조체육관,다목적경기장,접수중,유료,장충체육관,중구,127.00681,37.55822,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240419175232768053,06:00,24:00
"(평일 조/야간, 휴일)장충체육관 보조체육관",다목적경기장,접수중,유료,장충체육관,중구,127.00681,37.55822,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240419181654733887,06:00,24:00
7/16~7/31 장충테니스장 4번코트(평일야간),테니스장,예약마감,유료,장충테니스장,중구,127.00167192962464,37.55400560480704,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704091720923026,18:00,22:00
7/16~7/31 장충테니스장 7번코트(평일야간),테니스장,예약마감,유료,장충테니스장,중구,127.00167192962464,37.55400560480704,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704091925637863,18:00,22:00
7/16~7/31 장충테니스장 8번코트(평일야간),테니스장,예약마감,유료,장충테니스장,중구,127.00167192962464,37.55400560480704,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704092118891754,18:00,22:00
7/16~7/31 장충테니스장 2번코트(평일주간),테니스장,접수중,유료,장충테니스장,중구,127.00167192962464,37.55400560480704,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704083448207595,06:00,18:00
7/16~7/31 장충테니스장 3번코트(평일주간),테니스장,접수중,유료,장충테니스장,중구,127.00167192962464,37.55400560480704,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704084107067370,06:00,18:00
7/16~7/31 장충테니스장 4번코트(평일주간),테니스장,접수중,유료,장충테니스장,중구,127.00167192962464,37.55400560480704,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704084407029614,06:00,18:00
