역사명,노선명,환승역구분,위도,경도,주소
당곡,수도권 경량도시철도 신림선,일반역,37.490039105,126.927568759,서울특별시 관악구 보라매로 6 (봉천동)
신림,수도권 경량도시철도 신림선,환승역,37.484890755,126.92960992,서울특별시 관악구 남부순환로 지하1614 (신림동)
서원,수도권 경량도시철도 신림선,일반역,37.47827336,126.933228219,서울특별시 관악구 신림로 258 (신림동)
서울대벤처타운,수도권 경량도시철도 신림선,일반역,37.47204068,126.933976556,서울특별시 관악구 신림로 144 (신림동)
관악산,수도권 경량도시철도 신림선,일반역,37.46916896,126.944954837,서울특별시 관악구 신림로 23 (신림동)
시청,1호선,환승역,37.565211,126.977207,서울특별시 중구 세종대로 지하101(정동)
서울역,1호선,환승역,37.55585,126.972103,서울특별시 중구 세종대로 지하2(남대문로 5가)
시청,2호선,환승역,37.563534,126.975271,서울특별시 중구 서소문로 지하127(서소문동)
을지로입구,2호선,일반역,37.565998,126.982569,서울특별시 중구 을지로 지하42(을지로1가)
을지로3가,2호선,환승역,37.566292,126.990873,서울특별시 중구 을지로 지하106(을지로3가)
을지로4가,2호선,환승역,37.566611,126.997622,서울특별시 중구 을지로 지하178(을지로4가)
동대문역사문화공원(DDP),2호선,환승역,37.565609,127.009083,서울특별시 중구 을지로 지하279(을지로7가)
신당,2호선,환승역,37.565675,127.0194259,서울특별시 중구 퇴계로 지하431-1(신당동)
낙성대(강감찬),2호선,일반역,37.47713,126.963583,서울특별시 관악구 남부순환로 지하1928(봉천동)
서울대입구(관악구청),2호선,일반역,37.481233,126.952745,서울특별시 관악구 남부순환로 지하1822(봉천동)
봉천,2호선,일반역,37.482416,126.941696,서울특별시 관악구 남부순환로 지하1721(봉천동)
신림,2호선,일반역,37.484216,126.929573,서울특별시 관악구 남부순환로 지하1614(신림동)
을지로3가,3호선,환승역,37.566299,126.992616,서울특별시 중구 을지로 지하129(을지로3가)
충무로,3호선,환승역,37.561382,126.994173,서울특별시 중구 퇴계로 지하214(필동2가)
동대입구,3호선,일반역,37.55906,127.005273,서울특별시 중구 동호로 지하256(장충동2가)
약수,3호선,환승역,37.554554,127.010858,서울특별시 중구 다산로 지하122(신당동)
동대문역사문화공원(DDP),4호선,환승역,37.565141,127.007808,서울특별시 중구 장충단로 지하230(광희동2가)
충무로,4호선,환승역,37.561352,126.994573,서울특별시 중구 퇴계로 지하214(필동2가)
명동,4호선,일반역,37.560955,126.986271,서울특별시 중구 퇴계로 지하126(충무로2가)
회현(남대문시장),4호선,일반역,37.558698,126.978346,서울특별시 중구 퇴계로 지하54(남창동)
을지로4가,5호선,환승역,37.56728,126.998127,서울특별시 중구 창경궁로 지하51(주교동)
동대문역사문화공원(DDP),5호선,환승역,37.564682,127.00533,서울특별시 중구 마른내로 지하162(광희동1가)
청구,5호선,환승역,37.560237,127.01379,서울특별시 중구 청구로 지하77(신당동)
버티고개,6호선,일반역,37.547933,127.006948,서울특별시 중구 다산로 지하38(신당동)
약수,6호선,환승역,37.554087,127.010237,서울특별시 중구 다산로 지하115(신당동)
청구,6호선,환승역,37.560221,127.013776,서울특별시 중구 청구로 지하77(신당동)
신당,6호선,환승역,37.566174,127.016158,서울특별시 중구 다산로 지하260(흥인동)
