세그먼트,class_id,운동종목,선호점수비율,클래스참여율,세그먼트참여율,Lift,참여가중인원
노인_남성,노인_남성_LC1,걷기(속보 포함),51.2713,67.4988,59.7826,1.1291,488.0612
노인_남성,노인_남성_LC1,등산,9.1033,15.6865,20.9783,0.7477,113.4237
노인_남성,노인_남성_LC1,"체조(맨손체조, 생활체조)",7.6559,12.6918,10.3261,1.2291,91.7702
노인_남성,노인_남성_LC1,보디빌딩(헬스),5.9756,8.2409,6.9565,1.1846,59.587
노인_남성,노인_남성_LC1,탁구,4.1667,5.4508,5.0,1.0902,39.413
노인_남성,노인_남성_LC1,골프,3.6611,4.9025,5.1087,0.9596,35.4487
노인_남성,노인_남성_LC1,"자전거, 사이클, 산악자전거",3.4986,5.4445,6.1957,0.8788,39.3673
노인_남성,노인_남성_LC1,게이트볼,3.4639,5.0637,4.3478,1.1646,36.6138
노인_남성,노인_남성_LC1,"달리기(조깅, 마라톤 포함)",2.6262,3.8963,3.587,1.0862,28.173
노인_남성,노인_남성_LC1,낚시,1.9693,3.6045,5.6522,0.6377,26.0627
노인_남성,노인_남성_LC1,"수영+아쿠아로빅, 수중발레+수구",1.9524,2.6058,2.0652,1.2618,18.8416
노인_남성,노인_남성_LC1,[구기 및 라켓류] 그 외 종목,1.2824,1.9331,2.3913,0.8084,13.9779
노인_남성,노인_남성_LC1,배드민턴,1.1302,1.9358,2.1739,0.8905,13.9973
노인_남성,노인_남성_LC1,테니스+정구,0.7555,0.9549,0.7609,1.2551,6.9049
노인_남성,노인_남성_LC1,댄스스포츠,0.2553,0.4149,0.3261,1.2723,2.9999
노인_남성,노인_남성_LC1,[체력 단련 및 생활 운동] 그 외 종목,0.2553,0.4148,0.3261,1.272,2.9992
노인_남성,노인_남성_LC1,족구,0.2194,0.2774,0.3261,0.8506,2.0055
노인_남성,노인_남성_LC1,"석궁, 양궁, 국궁",0.1822,0.2764,0.2174,1.2712,1.9982
노인_남성,노인_남성_LC1,줄넘기,0.179,0.2724,0.2174,1.2531,1.9697
노인_남성,노인_남성_LC1,"요가, 필라테스, 태보",0.1459,0.2766,0.2174,1.2723,2.0
노인_남성,노인_남성_LC1,"축구, 풋살",0.1432,0.181,1.3043,0.1387,1.3084
노인_남성,노인_남성_LC1,[무도/격투기] 그 외 종목,0.1073,0.1356,0.1087,1.2478,0.9807
노인_남성,노인_남성_LC2,등산,33.724,40.4078,20.9783,1.9262,79.5763
노인_남성,노인_남성_LC2,걷기(속보 포함),25.9434,31.4517,59.7826,0.5261,61.9388
노인_남성,노인_남성_LC2,낚시,9.2222,13.1706,5.6522,2.3302,25.9373
노인_남성,노인_남성_LC2,"자전거, 사이클, 산악자전거",6.5975,8.9536,6.1957,1.4451,17.6327
노인_남성,노인_남성_LC2,골프,5.0673,5.8656,5.1087,1.1482,11.5513
노인_남성,노인_남성_LC2,"축구, 풋살",4.6947,5.429,1.3043,4.1623,10.6916
노인_남성,노인_남성_LC2,[구기 및 라켓류] 그 외 종목,2.9039,4.0735,2.3913,1.7035,8.0221
노인_남성,노인_남성_LC2,탁구,2.7457,3.3448,5.0,0.669,6.587
노인_남성,노인_남성_LC2,배드민턴,2.1973,3.0481,2.1739,1.4021,6.0027
노인_남성,노인_남성_LC2,"달리기(조깅, 마라톤 포함)",1.9022,2.4511,3.587,0.6833,4.827
노인_남성,노인_남성_LC2,보디빌딩(헬스),1.78,2.2409,6.9565,0.3221,4.413
노인_남성,노인_남성_LC2,게이트볼,1.4678,1.7195,4.3478,0.3955,3.3862
노인_남성,노인_남성_LC2,"체조(맨손체조, 생활체조)",1.1842,1.64,10.3261,0.1588,3.2298
노인_남성,노인_남성_LC2,족구,0.4367,0.505,0.3261,1.5486,0.9945
노인_남성,노인_남성_LC2,"수영+아쿠아로빅, 수중발레+수구",0.0686,0.0804,2.0652,0.0389,0.1584
노인_남성,노인_남성_LC2,테니스+정구,0.0418,0.0483,0.7609,0.0635,0.0951
노인_남성,노인_남성_LC2,줄넘기,0.0133,0.0154,0.2174,0.0708,0.0303
노인_남성,노인_남성_LC2,[무도/격투기] 그 외 종목,0.0085,0.0098,0.1087,0.0901,0.0193
노인_남성,노인_남성_LC2,"석궁, 양궁, 국궁",0.0005,0.0009,0.2174,0.0042,0.0018
노인_남성,노인_남성_LC2,[체력 단련 및 생활 운동] 그 외 종목,0.0002,0.0004,0.3261,0.0012,0.0008
노인_남성,노인_남성_LC2,댄스스포츠,0.0001,0.0001,0.3261,0.0002,0.0001
노인_남성,노인_남성_LC2,"요가, 필라테스, 태보",0.0,0.0,0.2174,0.0,0.0
노인_여성,노인_여성_LC1,걷기(속보 포함),75.4071,90.0887,74.4593,1.2099,344.5797
노인_여성,노인_여성_LC1,"체조(맨손체조, 생활체조)",10.9527,16.5395,14.2122,1.1638,63.2617
노인_여성,노인_여성_LC1,등산,3.519,6.2187,9.9897,0.6225,23.7859
노인_여성,노인_여성_LC1,"요가, 필라테스, 태보",1.7549,2.8476,8.033,0.3545,10.8916
노인_여성,노인_여성_LC1,"수영+아쿠아로빅, 수중발레+수구",1.4627,2.1212,9.4748,0.2239,8.1134
노인_여성,노인_여성_LC1,골프,1.3595,1.5999,1.5448,1.0357,6.1195
노인_여성,노인_여성_LC1,보디빌딩(헬스),1.2458,1.5289,2.4717,0.6186,5.8479
노인_여성,노인_여성_LC1,게이트볼,1.0743,1.5893,2.4717,0.643,6.079
노인_여성,노인_여성_LC1,"자전거, 사이클, 산악자전거",0.7093,0.9919,0.4119,2.4079,3.7939
노인_여성,노인_여성_LC1,훌라후프,0.6648,1.0165,1.1329,0.8973,3.8879
노인_여성,노인_여성_LC1,댄스스포츠,0.435,0.768,1.4418,0.5326,2.9374
노인_여성,노인_여성_LC1,탁구,0.4046,0.5398,0.9269,0.5824,2.0647
노인_여성,노인_여성_LC1,[체력 단련 및 생활 운동] 그 외 종목,0.3434,0.4871,0.4119,1.1825,1.8632
노인_여성,노인_여성_LC1,줄넘기,0.3244,0.5726,0.7209,0.7943,2.1901
노인_여성,노인_여성_LC1,에어로빅,0.1765,0.3706,1.9567,0.1894,1.4175
노인_여성,노인_여성_LC1,"달리기(조깅, 마라톤 포함)",0.1286,0.2271,0.5149,0.441,0.8686
노인_여성,노인_여성_LC1,배드민턴,0.0193,0.0227,1.2358,0.0183,0.0867
노인_여성,노인_여성_LC1,테니스+정구,0.0162,0.0191,0.206,0.0926,0.073
노인_여성,노인_여성_LC1,낚시,0.0019,0.0022,0.206,0.0107,0.0085
노인_여성,노인_여성_LC1,[구기 및 라켓류] 그 외 종목,0.0001,0.0001,0.309,0.0004,0.0004
노인_여성,노인_여성_LC1,[무도/격투기] 그 외 종목,0.0,0.0,0.103,0.0,0.0
노인_여성,노인_여성_LC2,걷기(속보 포함),45.0372,65.0067,74.4593,0.873,245.8075
노인_여성,노인_여성_LC2,"수영+아쿠아로빅, 수중발레+수구",14.6033,19.5768,9.4748,2.0662,74.025
노인_여성,노인_여성_LC2,"요가, 필라테스, 태보",10.968,15.5566,8.033,1.9366,58.8236
노인_여성,노인_여성_LC2,"체조(맨손체조, 생활체조)",9.786,15.9336,14.2122,1.1211,60.2492
노인_여성,노인_여성_LC2,등산,5.2228,9.8577,9.9897,0.9868,37.2746
노인_여성,노인_여성_LC2,보디빌딩(헬스),3.3579,4.6457,2.4717,1.8796,17.5667
노인_여성,노인_여성_LC2,에어로빅,2.7892,3.9515,1.9567,2.0194,14.9417
노인_여성,노인_여성_LC2,게이트볼,1.9885,2.9702,2.4717,1.2017,11.231
노인_여성,노인_여성_LC2,댄스스포츠,1.8259,2.4671,1.4418,1.7111,9.3289
노인_여성,노인_여성_LC2,탁구,1.0933,1.4429,0.9269,1.5567,5.4558
노인_여성,노인_여성_LC2,골프,0.6513,0.8466,1.5448,0.548,3.2013
노인_여성,노인_여성_LC2,훌라후프,0.6457,1.2965,1.1329,1.1445,4.9024
노인_여성,노인_여성_LC2,배드민턴,0.5515,0.774,1.2358,0.6263,2.9265
노인_여성,노인_여성_LC2,"달리기(조깅, 마라톤 포함)",0.5418,0.8092,0.5149,1.5716,3.06
노인_여성,노인_여성_LC2,[체력 단련 및 생활 운동] 그 외 종목,0.2937,0.5623,0.4119,1.3649,2.1261
노인_여성,노인_여성_LC2,테니스+정구,0.2034,0.2644,0.206,1.2835,0.9996
노인_여성,노인_여성_LC2,[구기 및 라켓류] 그 외 종목,0.2016,0.2621,0.309,0.8483,0.991
노인_여성,노인_여성_LC2,낚시,0.1356,0.2645,0.206,1.2839,1.0
노인_여성,노인_여성_LC2,줄넘기,0.0763,0.1488,0.7209,0.2064,0.5625
