종목,n,시설대분류_1,시설대분류_1_비율,시설대분류_2,시설대분류_2_비율,시설불필요_비율,세부시설_응답률,세부시설_신뢰도,세부시설_1,세부시설_1_비율,세부시설_2,세부시설_2_비율,세부시설_3,세부시설_3_비율
걷기(속보 포함),2225,공공체육시설,76.0,기타체육시설,15.0,1.2,79.4,보통,[공공체육시설] 보행자 전용 도로,52.3,[공공체육시설] 간이운동장(야외운동기구),20.5,[기타체육시설] 공동주택단지 체육시설,11.3
보디빌딩(헬스),859,민간체육시설,67.3,공공체육시설,16.3,0.9,93.6,보통,[민간체육시설] 체력단련장(헬스장),54.9,[공공체육시설] 체력단련장(헬스장),12.4,[기타체육시설] 공동주택단지 체육시설,7.3
"요가, 필라테스, 태보",446,민간체육시설,67.3,공공체육시설,15.5,8.1,90.6,보통,"[민간체육시설] 요가, 필라테스, 태보 연습장",61.0,"[공공체육시설] 요가, 필라테스, 태보 연습장",13.4,[기타체육시설] 복지시설,4.8
"수영+아쿠아로빅, 수중발레+수구",357,공공체육시설,61.3,민간체육시설,35.3,0.0,97.5,보통,[공공체육시설] 수영장,43.0,[민간체육시설] 수영장,24.8,[공공체육시설] 보행자 전용 도로,9.4
등산,347,공공체육시설,96.3,민간체육시설,3.7,0.0,93.9,보통,산,82.3,[공공체육시설] 보행자 전용 도로,9.1,낚시터,4.6
골프,319,민간체육시설,89.7,공공체육시설,9.7,0.0,100.0,보통,[민간체육시설] 골프연습장,36.5,[민간체육시설] 골프장,27.9,[민간체육시설] 스크린골프장,17.0
"축구, 풋살",263,학교체육시설,57.8,공공체육시설,33.5,0.0,40.7,낮음,[공공체육시설] 축구장,55.8,[공공체육시설] 보행자 전용 도로,12.2,[민간체육시설] 축구장,11.5
배드민턴,205,공공체육시설,55.1,학교체육시설,26.3,0.0,71.7,보통,[공공체육시설] 배드민턴장,44.0,[공공체육시설] 보행자 전용 도로,15.0,[민간체육시설] 배드민턴장,9.8
농구,189,학교체육시설,75.7,공공체육시설,18.5,0.0,25.4,낮음,[공공체육시설] 농구장,46.6,[공공체육시설] 보행자 전용 도로,9.6,[민간체육시설] 농구장,6.8
"자전거, 사이클, 산악자전거",180,공공체육시설,72.8,자가시설,17.8,17.8,68.3,보통,[공공체육시설] 보행자 전용 도로,56.4,[공공체육시설] 간이운동장(야외운동기구),16.9,[기타체육시설] 공동주택단지 체육시설,5.2
"체조(맨손체조, 생활체조)",171,자가시설,56.7,기타체육시설,27.5,56.7,42.1,낮음,[기타체육시설] 복지시설,39.3,[공공체육시설] 간이운동장(야외운동기구),19.0,[기타체육시설] 공동주택단지 체육시설,17.9
"달리기(조깅, 마라톤 포함)",130,공공체육시설,67.7,학교체육시설,20.8,3.1,70.8,보통,[공공체육시설] 보행자 전용 도로,47.7,[공공체육시설] 간이운동장(야외운동기구),15.5,산,6.5
탁구,129,공공체육시설,48.1,민간체육시설,33.3,0.0,87.6,보통,[공공체육시설] 탁구장,33.9,[민간체육시설] 탁구장,25.7,[공공체육시설] 보행자 전용 도로,13.5
테니스+정구,106,공공체육시설,58.5,민간체육시설,32.1,0.0,91.5,보통,[공공체육시설] 테니스장,44.6,[민간체육시설] 테니스장,23.0,[공공체육시설] 보행자 전용 도로,8.6
줄넘기,52,학교체육시설,44.2,기타체육시설,23.1,11.5,44.2,낮음,[기타체육시설] 공동주택단지 체육시설,44.4,[공공체육시설] 보행자 전용 도로,33.3,[공공체육시설] 간이운동장(야외운동기구),11.1
댄스스포츠,45,민간체육시설,42.2,기타체육시설,35.6,0.0,93.3,보통,[민간체육시설] 무도학원,29.5,[기타체육시설] 복지시설,14.8,[공공체육시설] 간이운동장(야외운동기구),9.8
게이트볼,43,공공체육시설,90.7,기타체육시설,7.0,0.0,100.0,보통,[공공체육시설] 전천후게이트볼장,48.6,[공공체육시설] 보행자 전용 도로,17.1,[공공체육시설] 간이운동장(야외운동기구),15.7
낚시,36,공공체육시설,83.3,민간체육시설,13.9,0.0,86.1,보통,낚시터,66.7,[공공체육시설] 보행자 전용 도로,22.2,산,8.9
족구,36,공공체육시설,36.1,학교체육시설,30.6,0.0,41.7,낮음,[공공체육시설] 축구장,52.9,[공공체육시설] 간이운동장(야외운동기구),23.5,[공공체육시설] 보행자 전용 도로,5.9
에어로빅,35,기타체육시설,37.1,민간체육시설,31.4,0.0,100.0,보통,[기타체육시설] 공동주택단지 체육시설,21.6,[공공체육시설] 간이운동장(야외운동기구),15.7,[공공체육시설] 보행자 전용 도로,11.8
