종목,MET_대표,MET_최대,강도,추천가능,강도근거,실내외,장비필요,그룹성,부담부위,고령적합,속성근거
게이트볼,,,미확인,Y,미확인,실외,필요,그룹,,적합,통념
골프,4.5,4.5,중,Y,"Golf, general 4.5",실외,필요,혼합,허리,적합,통념
농구,7.5,9.3,고,Y,"Basketball, general 7.5",혼합,필요,그룹,무릎|발목,비권장,통념
배구,4.0,8.0,중,Y,Volleyball 4.0 (competitive 6.0),실내,필요,그룹,무릎|어깨,보통,통념
"축구, 풋살",7.0,9.5,고,Y,"Soccer, casual 7.0 (competitive 9.5)",실외,필요,그룹,무릎|발목,비권장,통념
족구,,,미확인,Y,미확인,실외,필요,그룹,무릎|발목,보통,통념
야구+소프트볼,5.0,6.0,중,Y,Softball or baseball 5.0,실외,필요,그룹,어깨,보통,통념
테니스+정구,6.8,8.0,고,Y,"Tennis, moderate effort 6.8",실외,필요,혼합,어깨|무릎,보통,통념
배드민턴,5.5,9.0,중,Y,"Badminton, social 5.5 (competitive 9.0)",실내,필요,혼합,어깨|무릎,적합,통념
탁구,4.0,4.0,중,Y,Table tennis 4.0,실내,필요,혼합,어깨,적합,통념
[구기 및 라켓류] 그 외 종목,,,미확인,N,미확인,혼합,필요,혼합,,보통,통념
[무도/격투기] 그 외 종목,5.3,11.3,중,N,"Martial arts, novice 5.3 (judo 11.3)",실내,불필요,그룹,무릎|어깨|허리,비권장,통념
"석궁, 양궁, 국궁",4.3,4.3,중,Y,Archery (non-hunting) 4.3,혼합,필요,개인,어깨,적합,통념
[민속 스포츠] 그 외 종목,,,미확인,N,미확인,실외,필요,그룹,,적합,통념
걷기(속보 포함),3.5,4.8,중,Y,Walking for pleasure 3.5 (brisk 4.8),실외,불필요,개인,,적합,통념
"달리기(조깅, 마라톤 포함)",7.5,13.3,고,Y,"Jogging, general 7.5 (marathon 13.3)",실외,불필요,개인,무릎|발목,보통,통념
"육상(걷기, 달리기 제외한 종목)",,,미확인,Y,미확인,실외,필요,개인,,비권장,통념
보디빌딩(헬스),3.5,6.5,중,Y,"Resistance training, 8-15 reps 3.5 (body building 6.0)",실내,필요,개인,허리|어깨,적합,통념
"수영+아쿠아로빅, 수중발레+수구",5.8,9.8,중,Y,"Swimming, recreational 5.8 (water aerobics 5.3)",실내,필요,혼합,어깨,적합,통념
에어로빅,4.8,8.0,중,Y,"Aerobic dance, low impact 4.8 (high impact 8.0)",실내,불필요,그룹,무릎,보통,통념
"요가, 필라테스, 태보",2.3,4.0,저,Y,"Yoga Hatha 2.3, Pilates 1.8-2.8, Power yoga 4.0",실내,불필요,혼합,허리,적합,통념
댄스스포츠,,,미확인,Y,미확인,실내,불필요,그룹,무릎,적합,통념
"자전거, 사이클, 산악자전거",7.0,8.5,고,Y,"Bicycling, general 7.0 (leisure 4.0, mountain 8.5)",실외,필요,혼합,무릎,보통,통념
줄넘기,11.0,11.0,고,Y,"Rope skipping, general 11.0",혼합,필요,개인,무릎|발목,비권장,통념
"체조(맨손체조, 생활체조)",3.8,3.8,중,Y,"Calisthenics, moderate 3.8",혼합,불필요,혼합,,적합,통념
훌라후프,,,미확인,Y,미확인,혼합,필요,개인,허리,적합,통념
[체력 단련 및 생활 운동] 그 외 종목,,,미확인,N,미확인,혼합,불필요,개인,,적합,통념
"빙상(아이스하키, 스케이팅 포함)",7.0,14.0,고,Y,"Skating, ice, general 7.0",실내,필요,혼합,무릎|발목,비권장,통념
승마,5.5,9.0,중,Y,"Horseback riding, general 5.5-7.3",실외,필요,개인,허리,보통,통념
암벽등반,,10.5,고,Y,Rock climbing 5.0-10.5 (대표값 미확정),혼합,필요,개인,어깨|손목,비권장,통념
인라인스케이트,7.5,15.5,고,Y,In-line skating 7.5,실외,필요,혼합,무릎|발목,비권장,통념
[레저 스포츠] 그 외 종목,,,미확인,N,미확인,실외,필요,혼합,,보통,통념
등산,7.8,7.8,고,Y,Backpacking/hiking with daypack 7.8,실외,불필요,혼합,무릎,보통,통념
낚시,,,미확인,Y,미확인,실외,필요,개인,,적합,통념
[기타 스포츠] 그 외 종목,,,미확인,N,미확인,혼합,불필요,혼합,,보통,통념
